КодИнструмента,НаименованиеИнструмента,БазисПоставки,ОбъемДоговоровЕИ,ОбъемДоговоровРуб,ИзмРынРуб,ИзмРынПроц,МинЦена,СреднЦена,МаксЦена,РынЦена,ЛучшПредложение,ЛучшСпрос,КоличествоДоговоров,Дата,Товар
A692MOB005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Московская обл. Северо-Восток БП (самовывоз автотранспортом)",Московская обл. Северо-Восток БП,,,,,,,,70000,,,,2025-12-10,Бензин (АИ-92-К5)
A692NIL060F,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст. Никель (ст. отправления)",ст. Никель,480,27492120,618,1.08,56940,57275,57454,57275,56940,57561,4,2025-12-10,Бензин (АИ-92-К5)
A692NIL060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст. Никель (ст. отправления ОТП)",ст. Никель,,,,,,,,,,57500,,2025-12-10,Бензин (АИ-92-К5)
A692NOV060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Новая Еловка (ст. отправления)",ст. Новая Еловка,420,25230540,650,1.08,59720,60073,60244,60073,59592,60373,6,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692NRT025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Никифор (самовывоз автотранспортом)",НБ Никифор,,,,,,,,,68500,,,2025-12-10,Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A692NVY060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Новоярославская (ст. отправления)",ст. Новоярославская,900,52100880,907,1.57,57268,57890,58140,57890,57268,58179,13,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692ORB005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, БП Орел-Брянск (самовывоз автотранспортом)",БП Орел-Брянск,25,1775000,,,71000,71000,71000,71000,71000,71000,1,2025-12-10,Бензин (АИ-92-К5)
A692OSN060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Осенцы (ст. отправления)",ст. Осенцы,180,10099080,511,0.91,55873,56106,56293,56106,55826,56387,3,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692OTA005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ТАИФ-НК (самовывоз автотранспортом)",ТАИФ-НК,50,3250000,-57,-0.09,65000,65000,65000,65000,65000,65000,2,2025-12-10,Бензин (АИ-92-К5)
A692PDK060J,"Бензин (АИ-92-К5) по ГОСТ 32513-2013/ ГОСТ 32513-2023, Предкомбинатская-группа станций (ст. отправления ОТП)",Предкомбинатская-группа станций,,,,,,,,,,56000,,2025-12-10,Бензин (АИ-92-К5) по ГОСТ 32513-2013/ ГОСТ 32513-2023
A692PIP005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Приоритет (самовывоз автотранспортом)",НБ Приоритет,45,2925000,-2077,-3.2,65000,65000,65000,65000,65000,65000,1,2025-12-10,Бензин (АИ-92-К5)
A692PUP060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Пурпе (ст. отправления)",ст. Пурпе,,,,,,,,51026,,51281,,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692REN025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ РЕНЕКО-С (самовывоз автотранспортом)",НБ РЕНЕКО-С,,,,,,,,,66000,,,2025-12-10,Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A692ROD005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Ростов-на-Дону БП (самовывоз автотранспортом)",Ростов-на-Дону БП,,,,,,,,78000,77500,,,2025-12-10,Бензин (АИ-92-К5)
A692ROR005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Серпуховская (самовывоз автотранспортом)",НБ Серпуховская,,,,,,,,,70000,,,2025-12-10,Бензин (АИ-92-К5)
A692RSN005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Краснодар БП (самовывоз автотранспортом)",Краснодар БП,50,3875000,-700,-0.9,77500,77500,77500,77500,77500,77500,1,2025-12-10,Бензин (АИ-92-К5)
A692SAU060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Самара-группа станций (ст. отправления)",Самара-группа станций,1200,69425520,938,1.62,57202,57855,58093,57855,57200,58144,13,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692SCI005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Адлерская (самовывоз автотранспортом)",НБ Адлерская,,,,,,,,85800,,,,2025-12-10,Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A692SDB025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ СОЛИД-БУНКЕР (самовывоз автотранспортом)",НБ СОЛИД-БУНКЕР,,,,,,,,,69000,,,2025-12-10,Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A692SDS025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Солид-Смоленск (самовывоз автотранспортом)",НБ Солид-Смоленск,,,,,,,,,71100,,,2025-12-10,Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A692SDZ060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Судженка (ст. отправления ОТП)",ст. Судженка,720,42745800,907,1.53,58754,59369,59641,59369,58754,59641,12,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692SMK005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Смоленская (самовывоз автотранспортом)",НБ Смоленская,,,,,,,,,72800,,,2025-12-10,Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A692SSI060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Саратов-группа станций (ст. отправления)",Саратов-группа станций,300,17539980,611,1.05,58145,58467,58588,58467,58049,58759,5,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692SSI060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Саратов-группа станций (ст. отправления ОТП)",Саратов-группа станций,60,3469440,288,0.5,57824,57824,57824,57824,57824,58113,1,2025-12-10,Бензин (АИ-92-К5)
A692STI060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Стенькино II (ст. отправления)",ст. Стенькино II,,,,,,,,57400,,57687,,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692SUR060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст. Сургут (ст. отправления ОТП)",ст. Сургут,2340,132199980,723,1.28,56052,56496,56698,56496,55773,56698,26,2025-12-10,Бензин (АИ-92-К5)
A692SVZ005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Связь-Петролеум (самовывоз автотранспортом)",НБ Связь-Петролеум,,,,,,,,,66500,,,2025-12-10,Бензин (АИ-92-К5)
A692SZE005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Стрежевской НПЗ (самовывоз автотранспортом)",Стрежевской НПЗ,30,1712600,1424,2.49,57075,57087,57110,57087,55566,57110,2,2025-12-10,Бензин (АИ-92-К5)
A692TNZ005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Транзит-Сервис (самовывоз автотранспортом)",НБ Транзит-Сервис,10,660000,,,66000,66000,66000,66000,66000,66000,1,2025-12-10,Бензин (АИ-92-К5)
A692UFM060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Уфа-группа станций (ст. отправления)",Уфа-группа станций,1680,95825940,1026,1.8,56293,57039,57314,57039,56267,57324,22,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692UFS010A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Уфимская НБ (самовывоз автотранспортом)",Уфимская НБ,,,,,,,,67500,67500,65500,,2025-12-10,Бензин (АИ-92-К5)
A692URF005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ТПП Урайнефтегаз (самовывоз автотранспортом)",ТПП Урайнефтегаз,20,1594000,,,79700,79700,79700,79700,79700,79700,1,2025-12-10,Бензин (АИ-92-К5)
A692URT005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Сургут-25 БП (самовывоз автотранспортом)",Сургут-25 БП,625,37015290,-1097,-1.85,59000,59224,60000,59224,59000,61000,22,2025-12-10,Бензин (АИ-92-К5)
A692VAC005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Владикавказ (самовывоз автотранспортом)",НБ Владикавказ,,,,,,,,82000,,80000,,2025-12-10,Бензин (АИ-92-К5)
A692VLA060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Ветласян (ст. отправления ОТП)",ст. Ветласян,420,23639760,724,1.29,55839,56285,56526,56285,55561,56526,7,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692VON060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Войновка (ст. отправления ОТП)",ст. Войновка,,,,,,,,,,55000,,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692VRL005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Воронеж-Липецк БП (самовывоз автотранспортом)",Воронеж-Липецк БП,,,,,,,,75500,,75500,,2025-12-10,Бензин (АИ-92-К5)
